frame,areas,diffs,plucked_areas,colored,areas (μm^2)
538,667,5.0,False,5,1.8035679999999998
539,674,7.0,False,5,1.822496
540,674,0.0,False,5,1.822496
541,674,0.0,False,5,1.822496
542,679,5.0,False,5,1.8360159999999999
543,691,12.0,False,5,1.868464
544,690,1.0,False,5,1.8657599999999999
545,694,4.0,False,5,1.8765759999999998
546,695,1.0,False,5,1.8792799999999998
547,703,8.0,False,5,1.900912
548,703,0.0,False,5,1.900912
549,705,2.0,False,5,1.9063199999999998
550,713,8.0,False,5,1.9279519999999999
551,715,2.0,False,5,1.93336
552,721,6.0,False,5,1.9495839999999998
553,726,5.0,False,5,1.963104
556,738,12.0,False,5,1.9955519999999998
557,738,0.0,False,5,1.9955519999999998
558,749,11.0,False,5,2.025296
559,752,3.0,False,5,2.0334079999999997
560,751,1.0,False,5,2.030704
561,751,0.0,False,5,2.030704
562,760,9.0,False,5,2.05504
563,760,0.0,False,5,2.05504
564,770,10.0,False,5,2.08208
565,774,4.0,False,5,2.0928959999999996
566,772,2.0,False,5,2.087488
567,784,12.0,False,5,2.119936
568,784,0.0,False,5,2.119936
569,785,1.0,False,5,2.1226399999999996
570,794,9.0,False,5,2.146976
571,803,9.0,False,5,2.171312
572,806,3.0,False,5,2.179424
573,808,2.0,False,5,2.1848319999999997
574,813,5.0,False,5,2.198352
575,813,0.0,False,5,2.198352
576,825,12.0,False,5,2.2308
577,832,7.0,False,5,2.2497279999999997
578,830,2.0,False,5,2.2443199999999996
579,842,12.0,False,5,2.2767679999999997
580,854,12.0,False,5,2.3092159999999997
581,860,6.0,False,5,2.32544
582,857,3.0,False,5,2.317328
583,876,19.0,False,5,2.3687039999999997
584,878,2.0,False,5,2.374112
585,888,10.0,False,5,2.4011519999999997
586,890,2.0,False,5,2.40656
587,903,13.0,False,5,2.441712
588,913,10.0,False,5,2.468752
590,916,3.0,False,5,2.476864
591,910,6.0,False,5,2.4606399999999997
595,888,22.0,False,5,2.4011519999999997
596,523,-365.0,False,6,1.414192
597,532,9.0,False,6,1.4385279999999998
599,550,18.0,False,6,1.4871999999999999
600,548,2.0,False,6,1.481792
601,553,5.0,False,6,1.495312
602,556,3.0,False,6,1.5034239999999999
603,559,3.0,False,6,1.511536
604,556,3.0,False,6,1.5034239999999999
605,563,7.0,False,6,1.522352
606,572,9.0,False,6,1.5466879999999998
607,574,2.0,False,6,1.552096
608,581,7.0,False,6,1.571024
609,577,4.0,False,6,1.5602079999999998
610,583,6.0,False,6,1.5764319999999998
611,591,8.0,False,6,1.598064
612,591,0.0,False,6,1.598064
613,600,9.0,False,6,1.6223999999999998
614,597,3.0,False,6,1.614288
615,600,3.0,False,6,1.6223999999999998
616,605,5.0,False,6,1.6359199999999998
617,610,5.0,False,6,1.6494399999999998
618,612,2.0,False,6,1.6548479999999999
619,616,4.0,False,6,1.6656639999999998
620,618,2.0,False,6,1.671072
621,627,9.0,False,6,1.6954079999999998
622,626,1.0,False,6,1.692704
623,625,1.0,False,6,1.69
624,627,2.0,False,6,1.6954079999999998
625,633,6.0,False,6,1.7116319999999998
626,639,6.0,False,6,1.7278559999999998
627,641,2.0,False,6,1.733264
628,651,10.0,False,6,1.7603039999999999
629,648,3.0,False,6,1.752192
630,660,12.0,False,6,1.7846399999999998
631,664,4.0,False,6,1.795456
632,662,2.0,False,6,1.7900479999999999
633,673,11.0,False,6,1.8197919999999999
634,675,2.0,False,6,1.8252
635,678,3.0,False,6,1.8333119999999998
636,688,10.0,False,6,1.8603519999999998
637,687,1.0,False,6,1.857648
638,695,8.0,False,6,1.8792799999999998
639,694,1.0,False,6,1.8765759999999998
640,700,6.0,False,6,1.8927999999999998
641,705,5.0,False,6,1.9063199999999998
642,709,4.0,False,6,1.917136
643,713,4.0,False,6,1.9279519999999999
644,723,10.0,False,6,1.9549919999999998
645,722,1.0,False,6,1.9522879999999998
646,722,0.0,False,6,1.9522879999999998
647,725,3.0,False,6,1.9604
648,729,4.0,False,6,1.9712159999999999
649,741,12.0,False,6,2.0036639999999997
650,748,7.0,False,6,2.022592
651,750,2.0,False,6,2.028
652,763,13.0,False,6,2.0631519999999997
653,763,0.0,False,6,2.0631519999999997
654,765,2.0,False,6,2.0685599999999997
655,765,0.0,False,6,2.0685599999999997
656,772,7.0,False,6,2.087488
657,773,1.0,False,6,2.090192
658,784,11.0,False,6,2.119936
659,789,5.0,False,6,2.133456
660,796,7.0,False,6,2.1523839999999996
661,793,3.0,False,6,2.144272
662,797,4.0,False,6,2.1550879999999997
663,807,10.0,False,6,2.1821279999999996
664,812,5.0,False,6,2.195648
665,821,9.0,False,6,2.2199839999999997
666,819,2.0,False,6,2.2145759999999997
667,826,7.0,False,6,2.233504
668,819,7.0,False,6,2.2145759999999997
669,821,2.0,False,6,2.2199839999999997
670,829,8.0,False,6,2.241616
671,827,2.0,False,6,2.236208
672,835,8.0,False,6,2.25784
673,826,9.0,False,6,2.233504
674,841,15.0,False,6,2.2740639999999996
675,846,5.0,False,6,2.287584
676,837,9.0,False,6,2.263248
677,848,11.0,False,6,2.292992
678,847,1.0,False,6,2.290288
679,857,10.0,False,6,2.317328
680,868,11.0,False,6,2.347072
681,883,15.0,False,6,2.387632
682,891,8.0,False,6,2.409264
683,893,2.0,False,6,2.414672
684,896,3.0,False,6,2.422784
685,882,14.0,False,6,2.384928
687,508,-374.0,False,7,1.373632
688,507,1.0,False,7,1.370928
689,510,3.0,False,7,1.3790399999999998
690,509,1.0,False,7,1.376336
691,519,10.0,False,7,1.403376
692,522,3.0,False,7,1.4114879999999999
693,521,1.0,False,7,1.4087839999999998
694,529,8.0,False,7,1.430416
695,532,3.0,False,7,1.4385279999999998
696,529,3.0,False,7,1.430416
697,541,12.0,False,7,1.462864
698,542,1.0,False,7,1.465568
699,543,1.0,False,7,1.4682719999999998
700,548,5.0,False,7,1.481792
701,553,5.0,False,7,1.495312
702,552,1.0,False,7,1.492608
703,558,6.0,False,7,1.508832
704,558,0.0,False,7,1.508832
705,557,1.0,False,7,1.506128
706,564,7.0,False,7,1.525056
707,565,1.0,False,7,1.5277599999999998
708,571,6.0,False,7,1.5439839999999998
709,578,7.0,False,7,1.5629119999999999
710,578,0.0,False,7,1.5629119999999999
711,587,9.0,False,7,1.587248
712,584,3.0,False,7,1.5791359999999999
713,594,10.0,False,7,1.6061759999999998
714,592,2.0,False,7,1.600768
715,600,8.0,False,7,1.6223999999999998
716,596,4.0,False,7,1.611584
717,608,12.0,False,7,1.644032
718,610,2.0,False,7,1.6494399999999998
719,611,1.0,False,7,1.6521439999999998
720,618,7.0,False,7,1.671072
721,625,7.0,False,7,1.69
722,620,5.0,False,7,1.67648
723,628,8.0,False,7,1.6981119999999998
724,636,8.0,False,7,1.719744
725,638,2.0,False,7,1.7251519999999998
726,639,1.0,False,7,1.7278559999999998
727,643,4.0,False,7,1.7386719999999998
728,649,6.0,False,7,1.7548959999999998
729,652,3.0,False,7,1.763008
730,659,7.0,False,7,1.781936
731,662,3.0,False,7,1.7900479999999999
732,666,4.0,False,7,1.8008639999999998
733,667,1.0,False,7,1.8035679999999998
734,669,2.0,False,7,1.808976
735,677,8.0,False,7,1.8306079999999998
736,684,7.0,False,7,1.8495359999999998
737,694,10.0,False,7,1.8765759999999998
738,695,1.0,False,7,1.8792799999999998
739,700,5.0,False,7,1.8927999999999998
740,702,2.0,False,7,1.898208
741,710,8.0,False,7,1.9198399999999998
742,718,8.0,False,7,1.9414719999999999
743,717,1.0,False,7,1.9387679999999998
744,724,7.0,False,7,1.9576959999999999
745,729,5.0,False,7,1.9712159999999999
746,730,1.0,False,7,1.97392
747,733,3.0,False,7,1.9820319999999998
748,737,4.0,False,7,1.992848
749,746,9.0,False,7,2.017184
750,745,1.0,False,7,2.01448
751,758,13.0,False,7,2.049632
752,758,0.0,False,7,2.049632
753,764,6.0,False,7,2.0658559999999997
754,774,10.0,False,7,2.0928959999999996
755,782,8.0,False,7,2.114528
756,784,2.0,False,7,2.119936
757,787,3.0,False,7,2.1280479999999997
758,799,12.0,False,7,2.1604959999999997
759,802,3.0,False,7,2.168608
760,808,6.0,False,7,2.1848319999999997
761,816,8.0,False,7,2.206464
762,818,2.0,False,7,2.211872
763,823,5.0,False,7,2.225392
